"orden_revision";"prioridad";"estado_revision";"decision_manual";"notas_revisor";"bdns_id";"titulo";"grupo_revision";"comprobacion_recomendada";"fecha_cierre";"fecha_apertura";"url";"motivo_automatico";"origen"
"103";"media";"pendiente";"";"";"911226";"Beca d 'iniciació a la investigació (Projecte «ANÀLISI I SINTONITZACIÓ DE CONTROLADORS PID EN SISTEMES MULTIVARIABLES AMB MOSTREIG PER LLINDARS FIXOS» – Codi 24I483 – Dirigit per: Oscar Miguel Escrig, Dep. d'Enginyeria de Sistemes Industria";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=86567";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"104";"media";"pendiente";"";"";"900364";"Beca d 'iniciació a la investigació (Projecte «ESTUDIO DEL COMPORTAMIENTO ESTRUCTURAL DE HORMIGONES CON RESIDUOS PORCELÁNICOS FRENTE A TEMPERATURAS DE INCENDIO» – Codi 24I486 – Dirigit per: Marta Roig Flores, Dep. d'Enginyeria Mecànica i Co";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=85451";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"105";"media";"pendiente";"";"";"920519";"Beca de iniciación a la investigación (Proyecto «CÁTEDRA UBE DE PLÁSTICOS SOSTENIBLES» – Código 21I633 - Dirigido por: Luis Cabedo Mas del Departamento de Ingeniería de Sistemas Industriales y Diseño)";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87523";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"106";"media";"pendiente";"";"";"920339";"Beca de iniciación a la investigación (Proyecto «DISEÑO, EVALUACIÓN Y OPTIMIZACIÓN DE PRÓTESIS DE MIEMBRO SUPERIOR DE BAJO COSTE» – Código 24I479 - Dirigido por: Immaculada Llop Harillo del Departamento de Ingeniería Mecánica y Construcción";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87521";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"107";"media";"pendiente";"";"";"920074";"beca de iniciación a la investigación (Proyecto «EL AUTOCUIDADO EN LA POBLACIÓN ADULTA MAYOR AFECTADA DE OSTEOPOROSIS: UN ESTUDIO OBSERVACIONAL» – Código 24I473 - Dirigido por: Vicente Bernalte Martí, Unidad predepartamental de Enfermería)";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87443";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"108";"media";"pendiente";"";"";"921116";"Beca de iniciación a la investigación (Proyecto «PPSI DIDAC ROMÁN MONROIG: ENFORTIMENT DE L'ACTIVITAT INVESTIGADORA EN L'ÀMBIT DE LA PREHISTÒRIA MEDITERRÀNIA I LES SEUES CONNEXIONS GLOBALS» – Código 24I453 - Dirigido por: Dídac Román Monroi";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87699";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"109";"media";"pendiente";"";"";"921790";"Beca de iniciación a la investigación en el Departamento de Ingeniería y Ciencia de los Computadores (Técnicas de optimización para la ejecución eficiente de algoritmos de inteligencia artificial y computación avanzada en dispositivos edge de bajo consumo";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87839";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"110";"media";"pendiente";"";"";"922744";"Beca d'iniciació a la investigació (Projecte «PPSI-MARIA ANGELES FERNÁNDEZ IZQUIERDO: GESTIÓ INTEGRAL DE LES ORGANITZACIONS SOSTENIBLES» – Codi 22I243 - dirigit per María Ángeles Fernández Izquierdo del Departament de Finances i Comptabilit";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87960";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"111";"media";"pendiente";"";"";"922732";"Becas intramurales de iniciación a la investigación para estudiantado de másteres oficiales y de grados con nivel MECES3, para el curso 2026-2027";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"ujiapps.uji.es/seu/info-adm/tao/convocatoriesRH?pArId=87957";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"112";"media";"pendiente";"";"";"907867";"COLABORACION ENTRE LA CONSEJERÍA DE ECONOMÍA, COMERCIO, INNOVACIÓN TECNOLÓGICA, TURISMO Y FOMENTO DE LA CIUDAD AUTÓNOMA DE MELILLA Y LA UNIVERSIDAD DE GRANADA CAMPUS DE MELILLA PARA LA EJECUCIÓN DE LA “COLABORACION PARA OLIMPIADAS DE ECONOMÍA 2026""";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.melilla.es/sta/CarpetaPublic/doEvent?APP_CODE=STA&PAGE_CODE=PTS2_HOME";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"113";"media";"pendiente";"";"";"790177";"Concesión de ayudas directas a establecimientos ubicados en las calles afectadas (y adyacentes) por las obras de zonas de bajas emisiones";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/790177";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"114";"media";"pendiente";"";"";"657417";"CONCESION DIRECTA 2022 a la UEX para la actuación Planes Complementarios Energía/Hidrógeno FEDER 2022";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/657417";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"115";"media";"pendiente";"";"";"909599";"Concesión directa 2026 Clúster de la Energía de Extremadura";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/909599";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"116";"media";"pendiente";"";"";"680188";"Concesión Directa a Universidad de Extremadura. Planes complementarios CCAA Energía e Hidrógeno Verde. MRR 2022";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/680188";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"117";"media";"pendiente";"";"";"891673";"Concesión directa subvención 2025 a la Asociación Española de Normalización (UNE) para normalización, estandarización, secretaría y acción internacional en comités de tecnología digitales, digitalización, telecomunicaciones e infraestructuras digitales";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/891673";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"118";"media";"pendiente";"";"";"915101";"CONSTR AYUDAS MODERNIZACION ACTIVIDAD INDUSTRIAL SECTOR DE LA CONSTRUCCION";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"industria.caib.es";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"119";"media";"pendiente";"";"";"685530";"CONV 2023 IMPL ZONAS BAJAS EMISIONES ADAP CAMBIO CLIMÁTICO EELL/MUNICIPIOS";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/685530";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"120";"media";"pendiente";"";"";"764918";"CONV 2024 IMPL ZONAS BAJAS EMISIONES ADAP CAMBIO CLIMÁTICO EELL/MUNICIPIOS";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/764918";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"121";"media";"pendiente";"";"";"921126";"CONV. AYUDAS 2026A EMPRESAS PARA LA PRODUCCIÓN DE LARGOMETRAJES";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/921126";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"122";"media";"pendiente";"";"";"919244";"Convenio 2026 - Ayto de Mohedas de la Jara para el desarrollo de actividades de carácter educativo, cultural, social y medioambiental que se desarrolla en el C.R.A. La Jara de Mohedas de la Jara durante el curso 2025-26.";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919244";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"123";"media";"pendiente";"";"";"684156";"Convenio Ayuntamiento Badajoz 2022, Construcción Plataforma única para determinadas calles en zona de bajas emisiones en la localidad de Badajoz, en el marco del plan español de Recuperación, Transformación y Resiliencia";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/684156";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"124";"media";"pendiente";"";"";"900706";"Convenio con la Consejería de Economía, Empresas y Empleo de la Junta de Comunidades de Castilla-La Mancha, para la contratación de personas desempleadas por entidades locales en el programa de APOYO ACTIVO AL EMPLEO 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"www.dipualba.es";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"125";"media";"pendiente";"";"";"920659";"CONVENIO DE COLABORACIÓN CON LA ASOCIACIÓN EMPRESARIAL DE LA MEDIANA Y PEQUEÑA EMPRESA (AEMPE) PARA EL DESARROLLO DE ACCIONES DE APOYO AL COMERCIO DURANTE 2026 (01/04/26-31/12/26).";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/920659";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"126";"media";"pendiente";"";"";"760353";"Convenio de Colaboración con la Federación Onubense de Empresarios (FOE) para la celebración del I Congreso Nacional de Hidrógeno Verde 2024";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/760353";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"127";"media";"pendiente";"";"";"817737";"Convenio de Colaboración con la Federación Onubense de Empresarios para la celebración del II Congreso Nacional de Hidrógeno Verde 2025";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/817737";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"128";"media";"pendiente";"";"";"915955";"CONVENIO DE COLABORACIÓN ENTRE A AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN CULTURA ISMO PARA EL DESARROLLO DE LA EDICIÓN 2026 DE ABANEA FESTIVAL DE DANZA Y MOVIMIENTO";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"129";"media";"pendiente";"";"";"923615";"CONVENIO DE COLABORACIÓN ENTRE EL GOBIERNO DE ARAGÓN, LAS CÁMARAS OFICIALES DE COMERCIO Y EL CONSEJO ARAGONÉS DE CÁMARAS DE COMERCIO, INDUSTRIA Y SERVI PARA LA EJECUCIÓN DE LAS ACCIONES SOBRE LAS PYME DERIVADAS DEL PLAN CAMERAL DE COMPETITIVIDAD DE ARAGÓN";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/923615";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"130";"media";"pendiente";"";"";"916403";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y CAMINO ESCENA NORTE AIE PARA EL DESARROLLO EN GALICIA DEL PROGRAMA DE INTERCAMBIO CULTURAL ""CAMINO ESCENA NORTE 2026""";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"131";"media";"pendiente";"";"";"911327";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y El AYUNTAMIENTO DE RIBADAVIA PARA El DESARROLLO DE LA CUADRAGÉSIMO SEGUNDA EDICIÓN DE LA MOSTRA INTERNACIONAL DE TEATRO DE RIBADAVIA 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"132";"media";"pendiente";"";"";"903703";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN AMIGOS DE LA ÓPERA DE A CORUÑA PARA El DESARROLLO DE ACTIVIDADES DE DIFUSIÓN Y PROMOCIÓN DE LA MÚSICA OPERÍSTICA EN 2026 CON LA REPRESENTACIÓN DE LA ÓPERA JENUF";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"133";"media";"pendiente";"";"";"919059";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN ARTISTAS INTÉRPRETES O EJECUTANTES, EGDPI (AIE) PARA LA PARTICIPACIÓN DE GRUPOS DE MÚSICA GALLEGOS EN LA EDICIÓN 2026 DEL PROGRAMA AIENRUTA ARTISTAS";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"134";"media";"pendiente";"";"";"913545";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN CULTURAL LUARADA PARA El DESARROLLO DE LA TRIGÉSIMO PRIMERA EDICIÓN DEL FESTIVAL INTERNACIONAL DE CINE DE OURENSEOUFF EN 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"135";"media";"pendiente";"";"";"920754";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN CULTURGAL PARA El DESARROLLO DE LA DECIMONOVENA EDICIÓN DE LA FERIA DE LAS INDUSTRIAS CULTURALES DE GALICIACULTURGAL 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"136";"media";"pendiente";"";"";"904166";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN DE PROFESIONAIS DE CIRCO DE GALICIA PARA LA REALIZACIÓN DE ACTIVIDADES PARA LA PROMOCIÓN, VISIBILIZACIÓN Y FOMENTO DEL NUEVO CIRCO GALLEGO EN 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"137";"media";"pendiente";"";"";"919161";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN GALEGA DE EMPRESAS DE ARTES ESCÉNICAS (ESCENA GALEGA) PARA El DESARROLLO DE ACCIONES DE DINAMIZACIÓN PROFESIONAL Y SECTORIAL EN EL CAMPO ESCÉNICO EN 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"138";"media";"pendiente";"";"";"903176";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN MÚSICAS AO VIVO PARA El DESARROLLO DE LA DECIMOTERCERA EDICIÓN DE LOS PREMIOS MARTÍN CÓDAX DA MÚSICA 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"139";"media";"pendiente";"";"";"916410";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA ASOCIACIÓN VIDEOXOGO.GAL-ASOCIACIÓN GALEGA DE VIDEOXOGOS E CONTIDOS INTERACTIVOS PARA El DESARROLLO DE ACCIONES DE DIFUSIÓN Y VISIBILIZACIÓN DEL SECTOR DE LOS VIDEOJUEGOS";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"140";"media";"pendiente";"";"";"905258";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA FEDERACIÓN GALEGA DE BANDAS DE MÚSICA POPULARES PARA EL DESARROLLO DE ACTIVIDADES DE PROMOCIÓN Y DIFUSIÓN DE LA MÚSICA BANDÍSTICA EN 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"141";"media";"pendiente";"";"";"913358";"CONVENIO DE COLABORACIÓN ENTRE LA AGENCIA GALLEGA DE LAS INDUSTRIAS CULTURALES Y LA FUNDACIÓN PAIDEIA GALIZA PARA El DESARROLLO DEL PROGRAMA DE ACOMPAÑAMIENTO PROFESIONAL PARA PROYECTOS MUSICALES “SONEMERXENTE MÁIS” EN 2026";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.sede.xunta.gal/portada";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"142";"media";"pendiente";"";"";"915847";"CONVENIO DE COLABORACIÓN ENTRE LA DIPUTACIÓN DE PALENCIA Y LA CÁMARA OFICIAL DE COMERCIO, INDUSTRIA Y SERVICIOS DE PALENCIA PARA LA EJECUCIÓN DEL PROYECTO INTERNACIONALIZATE FASE VIII";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.diputaciondepalencia.es";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"143";"media";"pendiente";"";"";"923105";"CONVENIO DE COLABORACIÓN ENTRE LA DIPUTACIÓN DE PALENCIA Y LA CÁMARA OFICIAL DE COMERCIO, INDUSTRIA Y SERVICIOS DE PALENCIA PARA LA REALIZACIÓN DE UNA CAMPAÑA DE REACTIVACIÓN COMERCIAL DE LA PROVINCIA DE PALENCIA";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.diputaciondepalencia.es";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"144";"media";"pendiente";"";"";"919678";"CONVENIO DE COLABORACIÓN ENTRE LA DIPUTACIÓN PROVINCIAL DE TERUEL Y LA CÁMARA DE COMERCIO, INDUSTRIA Y SERVICIOS DE TERUEL PARA LA REACTIVACIÓN DE LA ECONOMÍA LOCAL EN PEQUEÑOS MUNICIPIOS DE LA PROVINCIA DE TERUEL A TRAVÉS DE LA EMISIÓN DE BONOS BONIFICAD";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919678";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"145";"media";"pendiente";"";"";"923480";"CONVENIO DE SUBVENCIÓN NOMINATIVA ENTRE EL AYUNTAMIENTO DE LAS PALMAS DE GRAN CANARIA Y RADIO ECCA FUNDACIÓN CANARIA DESTINADO A SUFRAGAR GASTOS GENERALES DEL PROYECTO CAPITAL CULTURAL LPGC: TRADICIÓN, INNOVACIÓN Y COMUNIDAD 2026.";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"2026-05-15";"Sede electrónica del Ayuntamiento de Las Palmas de Gran Canaria";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"146";"media";"pendiente";"";"";"902232";"CONVENIO ENTRE LA CONSEJERÍA DE ECONOMÍA, COMERCIO, INNOVACIÓN TECNOLÓGICA,TURISMO Y FOMENTO DE LA CIUDAD AUTÓNOMA DE MELILA Y LA CEME DE MELILLA PARA LA EJECUCIÓN DE ACCIONES DE FORMACIÓN EN COMPETENCIAS DIGITALES EN MATERIA DE TURISMO.";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.melilla.es/sta/CarpetaPublic/doEvent?APP_CODE=STA&PAGE_CODE=PTS2_HOME";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"147";"media";"pendiente";"";"";"919278";"CONVENIO ESPECÍFICO PARA EL CURSO ACADÉMICO 2026-2027 SUSCRITO ENTRE FUNDACIÓN CAROLINA Y UNIVERSIDAD MIGUEL HERNÁNDEZ MÁSTER UNIVERSITARIO EN NEUROCIENCIA: DE LA INVESTIGACIÓN A LA CLÍNICA";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/919278";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"148";"media";"pendiente";"";"";"909330";"Convocatoria 2026 de subvenciones a entidades locales destinadas a la adquisición de equipamientos para la gestión de residuos municipales";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/909330";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"149";"media";"pendiente";"";"";"892620";"Convocatoria 2026 para la concesión de subvenciones a proyectos de digitalización en empresas";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://sede.gobiernodecanarias.org/sede/procedimientos_servicios/tramites/ 10206";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"150";"media";"pendiente";"";"";"482422";"Convocatoria anticipada y las bases que han de regir la concesión de ayudas para inventarios de emisiones de referencia, evaluaciones de vulnerabilidad y riesgos del cambio climático, planes de acción para el clima y la energía sostenible y otros para mun";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"http://sede.diputacionalicante.es/";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"151";"media";"pendiente";"";"";"916556";"CONVOCATORIA BECAS TALENTO eliA – LA FACULTAD DE ECONOMÍA DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO PARA CURSAR EL MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL APLICADA A ENTORNOS EMPRESARIALES Y FINANCIEROS";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.unia.es/registro-electronico";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"152";"media";"pendiente";"";"";"909141";"CONVOCATORIA DE AYUDAS ECONÓMICAS DE LA FUNDACIÓN MUNICIPAL DE SERVICIOS SOCIALES PARA EL ABONO DE GASTOS DE SUMINISTRO DE ENERGÍA DE LA VIVIENDA HABITUAL, CORRESPONDIENTES AL PERIODO DEL 1 DE ENERO DE 2025 AL 31 DE DICIEMBRE DE 2025.";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/909141";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
"153";"media";"pendiente";"";"";"582900";"Convocatoria de ayudas en el diseño e implementación de zonas de bajas emisiones en municipios de Cantabria, en el marco de los Planes de Impulso al Medio Ambiente Cambio Climático (PIMA - CC)";"active_status_unverified";"Confirmar plazo futuro o evidencia expresa de ventanilla abierta; si no existe, rechazar.";"";"";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/582900";"No consta un plazo futuro ni una ventanilla indefinida verificable.";"auditoria_2026-08-06"
